No.    Code    Description
5318   0x14C6  A network control block (NCB) session open was rejected.  No LISTEN is outstanding  on the remote computer.  The NCB is the data.
5319   0x14C7  The name number specified in the network control block (NCB) is illegal.  The NCB is the data.
5320   0x14C8  The call name specified in the network control block (NCB) cannot be found or  did not answer.  The NCB is the data.
5321   0x14C9  The name specified in the network control block (NCB) was not found.  Cannot put '*' or  00h in the NCB name.  The NCB is the data.
5322   0x14CA  The name specified in the network control block (NCB) is in use on a remote adapter.  The NCB is the data.
5323   0x14CB  The name specified in the network control block (NCB) has been deleted.  The NCB is the data.
5324   0x14CC  The session specified in the network control block (NCB) ended abnormally.  The NCB is the data.
5325   0x14CD  The network protocol has detected two or more identical  names on the network. The network control block (NCB) is the data.
5326   0x14CE  An unexpected protocol packet was received.  There may be an  incompatible remote device.  The network control block (NCB) is the data.
5333   0x14D5  The NetBIOS interface is busy.  The network control block (NCB) request was refused.  The NCB is the data.
5334   0x14D6  There are too many network control block (NCB) commands outstanding.  The NCB request was refused.  The NCB is the data.
5335   0x14D7  The adapter number specified in the network control block (NCB) is illegal.  The NCB is the data.
5336   0x14D8  The network control block (NCB) command completed while a cancel was occurring.  The NCB is the data.
5337   0x14D9  The name specified in the network control block (NCB) is reserved.  The NCB is the data.
5338   0x14DA  The network control block (NCB) command is not valid to cancel.  The NCB is the data.
5351   0x14E7  There are multiple network control block (NCB) requests for the same session.  The NCB request was refused.  The NCB is the data.
5352   0x14E8  There has been a network adapter error. The only NetBIOS  command that may be issued is an NCB RESET. The network control block (NCB) is  the data.
5354   0x14EA  The maximum number of applications was exceeded.  The network control block (NCB) request was refused.  The NCB is the data.
5356   0x14EC  The requested resources are not available.  The network control block (NCB) request was refused.  The NCB is the data.
5364   0x14F4  A system error has occurred.  The network control block (NCB) request was refused.  The NCB is the data.
5365   0x14F5  A ROM checksum failure has occurred.  The network control block (NCB) request was refused.  The NCB is the data.
5366   0x14F6  A RAM test failure has occurred.  The network control block (NCB) request was refused.  The NCB is the data.
5367   0x14F7  A digital loopback failure has occurred.  The network control block (NCB) request was refused.  The NCB is the data.
5368   0x14F8  An analog loopback failure has occurred.  The network control block (NCB) request was refused.  The NCB is the data.
5369   0x14F9  An interface failure has occurred.  The network control block (NCB) request was refused.  The NCB is the data.
5370   0x14FA  An unrecognized network control block (NCB) return code was received.  The NCB is the data.
5380   0x1504  A network adapter malfunction has occurred.  The network control block (NCB) request was refused.  The NCB is the data.
5381   0x1505  The network control block (NCB) command is still pending.  The NCB is the data.
5509   0x1585  Windows could not be started as configured.  A previous working configuration was used instead.
5600   0x15E0  Could not share the User or Script path.
5601   0x15E1  The password for this computer is not found in the local security  database.
5602   0x15E2  An internal error occurred while accessing the computer's  local or network security database.
5728   0x1660  Could not load any transport.
5739   0x166B  This domain has more global groups than can be replicated to a LanMan  BDC.  Either delete some of your global groups or remove the LanMan  BDCs from the domain.
5742   0x166E  Service failed to retrieve messages needed to boot remote boot clients.
5743   0x166F  Service experienced a severe error and can no longer provide remote boot  for 3Com 3Start remote boot clients.
5744   0x1670  Service experienced a severe system error and will shut itself down.
5760   0x1680  Service experienced error evaluating RPL configurations.
5761   0x1681  Service experienced error creating RPL profiles for all configurations.
5762   0x1682  Service experienced error accessing registry.
5763   0x1683  Service experienced error replacing possibly outdated RPLDISK.SYS.
5764   0x1684  Service experienced error adding security accounts or setting  file permissions.  These accounts are the RPLUSER local group  and the user accounts for the individual RPL workstations.
5765   0x1685  Service failed to back up its database.
5766   0x1686  Service failed to initialize from its database.  The database may be  missing or corrupted.  Service will attempt restoring the database  from the backup.
5767   0x1687  Service failed to restore its database from the backup.  Service  will not start.
5768   0x1688  Service successfully restored its database from the backup.
5769   0x1689  Service failed to initialize from its restored database.  Service  will not start.
5771   0x168B  The Remoteboot database was in NT 3.5 / NT 3.51 format and NT is  attempting to convert it to NT 4.0 format. The JETCONV converter  will write to the Application event log when it is finished.
5806   0x16AE  Dynamic DNS updates have been manually disabled on this domain controller.        USER ACTION      Reconfigure this domain controller to use dynamic DNS updates or manually add the DNS  records from the file 'SystemRoot\System32\Config\Netlogon.dns' to the DNS database.
5808   0x16B0  The deregistration of some DNS domain controller locator records was aborted  at the time of this domain controller demotion because the DNS deregistrations  took too long.        USER ACTION      Manually delete the DNS records listed in the file  'SystemRoot\System32\Config\Netlogon.dns' from the DNS database.
5890   0x1702  An operation was attempted that is incompatible with the current membership state of the node.
5891   0x1703  The quorum resource does not contain the quorum log.
5892   0x1704  The membership engine requested shutdown of the cluster service on this node.
5893   0x1705  The join operation failed because the cluster instance ID of the joining node does not match the cluster instance ID of the sponsor node.
5894   0x1706  A matching cluster network for the specified IP address could not be found.
5895   0x1707  The actual data type of the property did not match the expected data type of the property.
5896   0x1708  The cluster node was evicted from the cluster successfully, but the node was not cleaned up. To determine what cleanup steps failed and how to recover, see the Failover Clustering application event log using Event Viewer.
5897   0x1709  Two or more parameter values specified for a resource's properties are in conflict.
5898   0x170A  This computer cannot be made a member of a cluster.
5899   0x170B  This computer cannot be made a member of a cluster because it does not have the correct version of Windows installed.
5900   0x170C  A cluster cannot be created with the specified cluster name because that cluster name is already in use. Specify a different name for the cluster.
5901   0x170D  The cluster configuration action has already been committed.
5902   0x170E  The cluster configuration action could not be rolled back.
5903   0x170F  The drive letter assigned to a system disk on one node conflicted with the drive letter assigned to a disk on another node.
5904   0x1710  One or more nodes in the cluster are running a version of Windows that does not support this operation.
5905   0x1711  The name of the corresponding computer account doesn't match the Network Name for this resource.
5906   0x1712  No network adapters are available.
5907   0x1713  The cluster node has been poisoned.
5908   0x1714  The group is unable to accept the request since it is moving to another node.
5909   0x1715  The resource type cannot accept the request since is too busy performing another operation.
5910   0x1716  The call to the cluster resource DLL timed out.
5911   0x1717  The address is not valid for an IPv6 Address resource. A global IPv6 address is required, and it must match a cluster network. Compatibility addresses are not permitted.
5912   0x1718  An internal cluster error occurred. A call to an invalid function was attempted.
5913   0x1719  A parameter value is out of acceptable range.
5914   0x171A  A network error occurred while sending data to another node in the cluster. The number of bytes transmitted was less than required.
5915   0x171B  An invalid cluster registry operation was attempted.
5916   0x171C  An input string of characters is not properly terminated.
5917   0x171D  An input string of characters is not in a valid format for the data it represents.
